Propuesta,Link,Empresa,Fecha
React Native Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-native-technical-project-manager-en-montevideo-615C8BDAAB098B13,BairesDev,17 mayo
React Native Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-native-tech-lead-en-salto-CD7544868ED8CF0F,BairesDev,17 mayo
React Native Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-native-architect-en-montevideo-BFEBFBD5A7FBB283,BairesDev,17 mayo
React Native SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-native-ssr-o-sr-en-salto-50DEFD8E303A134B,BairesDev,17 mayo
React Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-technical-project-manager-en-montevideo-19D7DA0697C1A39F,BairesDev,17 mayo
React Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-tech-lead-en-salto-97C3CDE3AAC0031E,BairesDev,17 mayo
React Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-architect-en-montevideo-8A6E8A1BBDD09028,BairesDev,17 mayo
React SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-react-ssr-o-sr-en-salto-9D698D9439811DE9,BairesDev,17 mayo
QA Automation Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-automation-technical-project-manager-en-montevideo-5D47D3AEE0A9B6FE,BairesDev,17 mayo
QA Automation Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-automation-tech-lead-en-salto-82D097DC684C5443,BairesDev,17 mayo
QA Automation Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-automation-architect-en-montevideo-A649D7980A521E34,BairesDev,17 mayo
QA Automation SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-automation-ssr-o-sr-en-salto-293B7F73E7697A56,BairesDev,17 mayo
QA Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-technical-project-manager-en-montevideo-55258CBF5598784C,BairesDev,17 mayo
QA Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-tech-lead-en-salto-C023A3684464723E,BairesDev,17 mayo
QA Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-architect-en-montevideo-659068FB67ABC953,BairesDev,17 mayo
QA Manual SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-qa-manual-ssr-o-sr-en-salto-FE0A7A3B7365A168,BairesDev,17 mayo
Python Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-python-technical-project-manager-en-montevideo-1487D0B287B2D62D,BairesDev,17 mayo
Python Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-python-tech-lead-en-salto-B3250B1AD1BF4E24,BairesDev,17 mayo
Python Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-python-architect-en-montevideo-304AB9AE52F0A7BF,BairesDev,17 mayo
Python SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-python-ssr-o-sr-en-salto-9657B3E4A01E415D,BairesDev,17 mayo
PHP Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-php-technical-project-manager-en-montevideo-072E1434C755FEF9,BairesDev,17 mayo
PHP Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-php-tech-lead-en-salto-9195F7907FF7AD6C,BairesDev,17 mayo
PHP Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-php-architect-en-montevideo-9D8DB456D0CE64AA,BairesDev,17 mayo
PHP SSr o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-php-ssr-o-sr-en-salto-C92F0F37B7E1D819,BairesDev,17 mayo
"Oracle con CPQ, SaaS u ODI SSR o SR",https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-oracle-con-cpq-saas-u-odi-ssr-o-sr-en-montevideo-ED6D16F6FD123414,BairesDev,17 mayo
Node Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-node-technical-project-manager-en-montevideo-E541669F7AB74483,BairesDev,17 mayo
Node Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-node-tech-lead-en-salto-3368520655BC316A,BairesDev,17 mayo
Node Architect,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-node-architect-en-montevideo-8D7A0501B27A9EEE,BairesDev,17 mayo
Node SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-node-ssr-o-sr-en-salto-168DDBC828B1B453,BairesDev,17 mayo
MySQL SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-mysql-ssr-o-sr-en-montevideo-2E0295F482F71BAE,BairesDev,17 mayo
Magento 2,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-magento-2-en-salto-EDBA504F1B473EBC,BairesDev,17 mayo
Machine Learning SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-machine-learning-ssr-o-sr-en-salto-F2456E7464506555,BairesDev,17 mayo
Java con AEM SSR o SR,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-java-con-aem-ssr-o-sr-en-salto-FB160A57EFABA999,BairesDev,17 mayo
Java Technical Project Manager,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-java-technical-project-manager-en-montevideo-40C8B891837A1976,BairesDev,17 mayo
Java Tech Lead,https://www.computrabajo.com.uy/ofertas-de-trabajo/oferta-de-trabajo-de-java-tech-lead-en-salto-50DAC44754A7F3CC,BairesDev,17 mayo
